YEAR,DOY,HOUR,MINUTE,SECOND,SPACECRAFT,PLANET_NUMBER,RESPONSE,L_OR_M_MODE,SAVE_PLOT,FIT,ITERATIONS,CHANNELS_CUPA,CHANNELS_CUPB,CHANNELS_CUPC,CHANNELS_CUPD,VARY_V1,VARY_V2,VARY_V3,VARY_DENSITY,VARY_TEMPERATURE,ANALYTICAL_VPHI,V1,V2,V3,COMMON_TEMPERATURE,DELAMERE_COMPOSITION,SPECIES_1,SPECIES_1_A,SPECIES_1_Z,SPECIES_1_N,SPECIES_1_T,SPECIES_2,SPECIES_2_A,SPECIES_2_Z,SPECIES_2_N,SPECIES_2_T,SPECIES_3,SPECIES_3_A,SPECIES_3_Z,SPECIES_3_N,SPECIES_3_T,SPECIES_4,SPECIES_4_A,SPECIES_4_Z,SPECIES_4_N,SPECIES_4_T,SPECIES_5,SPECIES_5_A,SPECIES_5_Z,SPECIES_5_N,SPECIES_5_T,SPECIES_6,SPECIES_6_A,SPECIES_6_Z,SPECIES_6_N,SPECIES_6_T,SPECIES_7,SPECIES_7_A,SPECIES_7_Z,SPECIES_7_N,SPECIES_7_T,SPECIES_8,SPECIES_8_A,SPECIES_8_Z,SPECIES_8_N,SPECIES_8_T
1979,188,22,24,10,2,5,1,1,101,1,10,0,0,0,30125,0,1,0,1,1,0,0,254.1072845,0,337.3274841,1,4,16,1,0.096837133,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0,0,4,23,1,0.159999996,0,1,16,1,0,900
1979,188,22,25,46,2,5,1,1,101,1,10,0,0,0,30125,0,1,0,1,1,0,0,254.1347351,0,335.4020691,1,4,16,1,0.096757017,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0,0,4,23,1,0.159999996,0,1,16,1,0,900
1979,189,1,26,34,2,5,1,1,101,1,10,0,0,0,30125,0,1,0,1,1,0,0,255.011322,0,394.221283,1,4,16,1,0.082203574,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0,0,4,23,1,0.159999996,0,1,16,1,0,900
1979,189,1,28,10,2,5,1,1,101,1,10,0,0,0,30125,0,1,0,1,1,0,0,254.9537354,0,382.5281067,1,4,16,1,0.081670694,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0,0,4,23,1,0.159999996,0,1,16,1,0,900
1979,189,1,44,10,2,5,1,1,101,1,10,0,0,0,30125,0,1,0,1,1,0,0,245.7545319,0,1334.444336,1,4,16,1,0.073562823,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0,0,4,23,1,0.159999996,0,1,16,1,0.079999998,900
1979,189,8,44,58,2,5,1,1,101,1,10,0,0,0,30125,0,1,0,1,1,0,0,217.0101929,0,745.1448975,1,4,16,1,0.093868166,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0,0,4,23,1,0.159999996,0,1,16,1,0.100000001,900
1979,189,8,46,34,2,5,1,1,101,1,10,0,0,0,30125,0,1,0,1,1,0,0,218.2501221,0,706.8788452,1,4,16,1,0.09170267,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0,0,4,23,1,0.159999996,0,1,16,1,0.100000001,900
1979,189,11,44,10,2,5,1,1,101,1,10,0,0,0,30125,0,1,0,1,1,0,0,173.1878662,0,123.5334473,1,4,16,1,0.076294161,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.200000003,112.5400009,4,23,1,0.159999996,0,1,16,1,0.699999988,1200
1979,189,12,0,10,2,5,1,1,101,1,10,0,0,0,30125,0,1,0,1,1,0,-50.25999832,214.5581818,0,117.0690231,1,4,16,1,0.069986053,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.150000006,217,4,23,1,0.159999996,0,1,16,1,0.300000012,900
1979,189,12,1,46,2,5,1,1,101,1,10,0,0,0,30125,0,1,0,1,1,0,-47.65000153,222.7329712,15.80000019,133.9889069,1,4,16,1,0.080054797,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.109999999,232.6900024,4,23,1,0.159999996,0,1,16,1,0.300000012,900
1979,189,19,20,10,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,212,15.80000019,507.1220703,1,4,16,1,0.099141188,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.159999996,30,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,19,21,46,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,230.4877625,15.80000019,485.8444214,1,4,16,1,0.170899004,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.150000006,30,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,19,23,22,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,230.2354584,15.80000019,461.3928833,1,4,16,1,0.168831632,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.189999998,30,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,19,24,58,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,210,15.80000019,448.5788879,1,4,16,1,0.066072226,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.219999999,30,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,19,26,34,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,210,15.80000019,424.0322266,1,4,16,1,0.064984769,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.189999998,65,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,19,39,22,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,220,15.80000019,564.2573853,1,4,16,1,0.072170392,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.159999996,75,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,19,40,58,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,193,15.80000019,345.5816956,1,4,16,1,0.062441316,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.159999996,75,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,19,42,34,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,193,15.80000019,365.2845154,1,4,16,1,0.063651353,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.150000006,65,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,19,44,10,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,190,15.80000019,342.9377441,1,4,16,1,0.144722849,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.140000001,65,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,19,45,46,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,190,15.80000019,348.0419006,1,4,16,1,0.145388335,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0,30,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,19,48,58,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,195,15.80000019,549.9175415,1,4,16,1,0.072840773,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.200000003,45,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,19,50,34,2,5,1,1,0,1,10,0,0,0,30125,0,1,0,0,0,0,-47.65000153,211.2802277,15.80000019,0,1,4,16,1,0,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.129999995,30,4,23,1,0.159999996,0,1,16,1,0,900
1979,189,19,55,22,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,183,15.80000019,450.3314819,1,4,16,1,0.093741827,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.180000007,70,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,19,56,58,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,205,15.80000019,380.6916199,1,4,16,1,0.059884518,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.180000007,70,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,19,58,34,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,215,15.80000019,238.7000885,1,4,16,1,0.050331701,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.180000007,50,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,20,0,10,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,205,15.80000019,267.7675781,1,4,16,1,0.018736426,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.180000007,50,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,20,6,34,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-72.73000336,190,0,373.5473022,1,4,16,1,0.06643822,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.180000007,80,4,23,1,0.159999996,0,1,16,1,0.270000011,900
1979,189,20,12,58,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-72.73000336,190,0,514.2745972,1,4,16,1,0.059290908,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.189999998,70,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,20,17,46,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-72.73000336,200,0,531.020874,1,4,16,1,0.075059809,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.230000004,70,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,21,26,34,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-76.94999695,210.7834778,0,302.6411743,1,4,16,1,0.075950786,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.180000007,120,4,23,1,0.159999996,0,1,16,1,0.419999987,900
1979,189,21,39,22,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-70.87999725,208.7665253,-19.55999947,387.1078186,1,4,16,1,0.101352572,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0,0,4,23,1,0.159999996,0,1,16,1,0.5,1200
1979,189,21,44,10,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-56.11000061,208.0100555,0,399.8084412,1,4,16,1,0.084990613,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.159999996,160,4,23,1,0.159999996,0,1,16,1,0.379999995,1200
1979,189,22,11,22,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-56.11000061,203.7269897,0,464.1514282,1,4,16,1,0.197820827,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.159999996,70,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,22,12,58,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-56.11000061,203.4751587,0,466.8504639,1,4,16,1,0.198606566,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.159999996,70,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,22,14,34,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-56.11000061,182,0,674.0610352,1,4,16,1,0.203235418,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.159999996,70,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,22,16,10,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-56.11000061,182,0,676.8951416,1,4,16,1,0.20393154,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.159999996,70,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,22,17,46,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-56.11000061,184,0,605.1920776,1,4,16,1,0.184031665,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.129999995,70,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,22,19,22,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-56.11000061,185,0,590.616333,1,4,16,1,0.181837425,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.159999996,70,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,22,20,58,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-56.11000061,195,0,358.5463562,1,4,16,1,0.209419101,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.159999996,70,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,22,22,34,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-56.11000061,195,0,354.4187927,1,4,16,1,0.208694547,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.159999996,55,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,22,28,58,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-37.68999863,175,-36.13000107,254.1641388,1,4,16,1,0.118092448,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.119999997,45,4,23,1,0.159999996,0,1,16,1,0.600000024,900
1979,189,22,48,10,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-29.77000046,175,0,210.2171936,1,4,16,1,0.137384623,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.150000006,45,4,23,1,0.159999996,0,1,16,1,0.550000012,900
1979,189,23,8,58,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-26.89999962,180,0,234.0199738,1,4,16,1,0.091245815,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.200000003,100,4,23,1,0.159999996,0,1,16,1,0.550000012,900
1979,189,23,13,46,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-20.94000053,180,0,254.9394836,1,4,16,1,0.094089575,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.159999996,120,4,23,1,0.159999996,0,1,16,1,0.600000024,900
1979,190,4,48,9,2,5,1,1,101,1,10,0,0,0,30125,0,1,0,1,1,0,20,128.5512543,0,90.82923889,1,4,16,1,0.532297552,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.180000007,50,4,23,1,0.159999996,0,1,16,1,1.200000048,900
1979,190,4,54,33,2,5,1,1,101,1,10,0,0,0,30125,0,1,0,1,1,0,20,133.7898865,0,82.05812836,1,4,16,1,1.083916783,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.699999988,50,4,23,1,0.159999996,0,1,16,1,0.600000024,900
1979,190,4,56,9,2,5,1,1,101,1,10,0,0,0,30125,0,1,0,1,1,0,20,138.8464966,0,56.16262436,1,4,16,1,0.920957565,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.699999988,23,4,23,1,0.159999996,0,1,16,1,0.600000024,900
1979,190,5,32,58,2,5,1,1,101,1,10,0,0,0,30125,0,1,0,1,1,0,20,148.8211517,0,327.6875916,1,4,16,1,0.411178172,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0,30,4,23,1,0.159999996,0,1,16,1,0.600000024,900
1979,190,5,34,33,2,5,1,1,101,1,10,0,0,0,30125,0,1,0,1,1,0,20,155.0521545,0,241.8461304,1,4,16,1,0.359935045,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.5,100,4,23,1,0.159999996,0,1,16,1,0.600000024,900
1979,190,5,47,22,2,5,1,1,101,1,10,0,0,0,30125,0,1,0,1,1,0,20,105.9805222,0,937.9692383,1,4,16,1,0.449077815,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.400000006,90,4,23,1,0.159999996,0,1,16,1,0.600000024,900
1979,190,6,32,9,2,5,1,1,101,1,10,0,20090,20090,30125,1,1,1,1,1,0,0.548367739,129.9470215,5.138493538,427.7585754,1,4,16,1,0.386499166,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.699999988,60,4,23,1,0.159999996,0,1,16,1,0.899999976,900
1979,190,6,33,46,2,5,1,1,101,1,10,0,20090,20090,20100,1,1,1,1,1,0,-0.13335903,117.8624725,11.98453808,531.9819946,1,4,16,1,0.410741091,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.600000024,60,4,23,1,0.159999996,0,1,16,1,0.800000012,1050
1979,190,6,52,57,2,5,1,1,101,1,10,0,20090,20090,20100,1,1,1,1,1,0,-16.25730896,151.9620514,-13.08796978,224.9529419,1,4,16,1,0.505536675,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.649999976,70,4,23,1,0.159999996,0,1,16,1,0.899999976,950
1979,190,6,54,33,2,5,1,1,101,1,10,0,20090,20090,20100,1,1,1,1,1,0,-15.62940121,149.5428925,-15.58052731,252.1873779,1,4,16,1,0.529667437,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.699999988,70,4,23,1,0.159999996,0,1,16,1,0.899999976,950
1979,190,7,15,21,2,5,1,1,101,1,10,0,20100,20100,30100,1,1,1,1,1,0,-38.9194603,158.8148041,-5.91963625,405.9494019,1,4,16,1,0.372464806,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.75,70,4,23,1,0.159999996,0,1,16,1,0.75,900
1979,190,7,16,58,2,5,1,1,101,1,10,0,20100,20100,30100,1,1,1,1,1,0,-39.53911591,165.6818237,-5.847148418,339.85672,1,4,16,1,0.328942537,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.75,50,4,23,1,0.159999996,0,1,16,1,0.75,900
1979,190,7,18,33,2,5,1,1,101,1,10,0,20100,20100,30100,1,1,1,1,1,0,-22.10513115,152.6832123,-9.573125839,402.1907349,1,4,16,1,0.26368019,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.800000012,45,4,23,1,0.159999996,0,1,16,1,0.649999976,900
1979,190,7,20,9,2,5,1,1,101,1,10,0,20100,20100,30100,1,1,1,1,1,0,-18.26893234,137.0152435,-13.310462,624.6212158,1,4,16,1,0.3329117,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.800000012,40,4,23,1,0.159999996,0,1,16,1,0.649999976,900
1979,190,7,21,45,2,5,1,1,101,1,10,0,20100,20100,30100,1,1,1,1,1,0,-31.30781555,134.3403931,-24.37187004,494.8437195,1,4,16,1,0.310734183,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.699999988,45,4,23,1,0.159999996,0,1,16,1,0.649999976,900
