YEAR,DOY,HOUR,MINUTE,SECOND,SPACECRAFT,PLANET_NUMBER,RESPONSE,L_OR_M_MODE,SAVE_PLOT,FIT,ITERATIONS,CHANNELS_CUPA,CHANNELS_CUPB,CHANNELS_CUPC,CHANNELS_CUPD,VARY_V1,VARY_V2,VARY_V3,VARY_DENSITY,VARY_TEMPERATURE,ANALYTICAL_VPHI,V1,V2,V3,COMMON_TEMPERATURE,DELAMERE_COMPOSITION,SPECIES_1,SPECIES_1_A,SPECIES_1_Z,SPECIES_1_N,SPECIES_1_T,SPECIES_2,SPECIES_2_A,SPECIES_2_Z,SPECIES_2_N,SPECIES_2_T,SPECIES_3,SPECIES_3_A,SPECIES_3_Z,SPECIES_3_N,SPECIES_3_T,SPECIES_4,SPECIES_4_A,SPECIES_4_Z,SPECIES_4_N,SPECIES_4_T,SPECIES_5,SPECIES_5_A,SPECIES_5_Z,SPECIES_5_N,SPECIES_5_T,SPECIES_6,SPECIES_6_A,SPECIES_6_Z,SPECIES_6_N,SPECIES_6_T,SPECIES_7,SPECIES_7_A,SPECIES_7_Z,SPECIES_7_N,SPECIES_7_T,SPECIES_8,SPECIES_8_A,SPECIES_8_Z,SPECIES_8_N,SPECIES_8_T
1979,188,22,24,10,2,5,1,1,0,1,10,0,0,0,30125,0,1,0,1,1,0,0,25.73445984,0,586.6267363,1,4,16,1,0.039425802,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0,0,4,23,1,0.159999996,0,1,16,1,0,900
1979,188,22,25,46,2,5,1,1,0,1,10,0,0,0,30125,0,1,0,1,1,0,0,23.78985651,0,536.5617549,1,4,16,1,0.036241038,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0,0,4,23,1,0.159999996,0,1,16,1,0,900
1979,189,1,26,34,2,5,1,1,0,1,10,0,0,0,30125,0,1,0,1,1,0,0,32.76172973,0,1252.262377,1,4,16,1,0.059994508,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0,0,4,23,1,0.159999996,0,1,16,1,0,900
1979,189,1,28,10,2,5,1,1,0,1,10,0,0,0,30125,0,1,0,1,1,0,0,30.89895602,0,1128.317644,1,4,16,1,0.054485424,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0,0,4,23,1,0.159999996,0,1,16,1,0,900
1979,189,1,44,10,2,5,1,1,0,1,10,0,0,0,30125,0,1,0,1,1,0,0,76.43052743,0,7953.029259,1,4,16,1,0.203780675,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0,0,4,23,1,0.159999996,0,1,16,1,0.079999998,900
1979,189,8,44,58,2,5,1,1,0,1,10,0,0,0,30125,0,1,0,1,1,0,0,86.73142215,0,2687.058662,1,4,16,1,0.137035937,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0,0,4,23,1,0.159999996,0,1,16,1,0.100000001,900
1979,189,8,46,34,2,5,1,1,0,1,10,0,0,0,30125,0,1,0,1,1,0,0,85.23265745,0,2642.002514,1,4,16,1,0.134612348,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0,0,4,23,1,0.159999996,0,1,16,1,0.100000001,900
1979,189,11,44,10,2,5,1,1,0,1,10,0,0,0,30125,0,1,0,1,1,0,0,36.58814546,0,454.7240422,1,4,16,1,0.060107731,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.200000003,112.5400009,4,23,1,0.159999996,0,1,16,1,0.699999988,1200
1979,189,12,0,10,2,5,1,1,0,1,10,0,0,0,30125,0,1,0,1,1,0,-50.25999832,27.36757887,0,344.6659456,1,4,16,1,0.050562475,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.150000006,217,4,23,1,0.159999996,0,1,16,1,0.300000012,900
1979,189,12,1,46,2,5,1,1,0,1,10,0,0,0,30125,0,1,0,1,1,0,-47.65000153,30.59863611,15.80000019,458.8070822,1,4,16,1,0.06571169,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.109999999,232.6900024,4,23,1,0.159999996,0,1,16,1,0.300000012,900
